"","EPCI","Commune","Numéro d'immatriculation","Type de syndic : bénévole / professionnel / non connu","Identification du représentant légal  (raison sociale et le numéro SIRET du syndic professionnel ou Civilité/prénom/ nom du syndic bénévole ou coopératif)","Siret représentant légal (si existe)","Code APE","Commune du représentant légal","Mandat en cours dans la copropriété","Nom d’usage de la copropriété","Adresse de référence","Numéro et Voie (adresse de référence)","Code postal (adresse de référence)","Commune (adresse de référence)","Adresse complémentaire 1","Adresse complémentaire 2","Adresse complémentaire 3","Nombre d'adresses complémentaires","long","lat","Date du règlement de copropriété","Résidence service","Syndicat coopératif","Syndicat principal ou syndicat secondaire","Si secondaire, n° d’immatriculation du principal","Nombre d’ASL auxquelles est rattaché le syndicat de copropriétaires","Nombre d’AFUL auxquelles est rattaché le syndicat de copropriétaires","Nombre d’Unions de syndicats auxquelles est rattaché le syndicat de copropriétaires","Nombre total de lots","Nombre total de lots à usage d’habitation, de bureaux ou de commerces","Nombre de lots à usage d’habitation","Nombre de lots de stationnement","Nombre d'arrêtés relevant du code de la santé publique en cours","Nombre d'arrêtés de péril sur les parties communes en cours","Nombre d'arrêtés sur les équipements communs en cours","Période de construction","nom_qp","code_qp"
"1",200046977,"69034","AA0854497","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LA CARETTE","48 r de margnolles 69300 Caluire-et-Cuire","48 r de margnolles","69300","Caluire-et-Cuire",NA,NA,NA,0,4.840656,45.78662,1958-03-18,"non","non","oui",NA,0,0,0,450,204,204,239,0,0,0,"DE_1949_A_1960",NA,NA
"2",200046977,"69387","AA1486190","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE RHODANIEN","32 av leclerc 69007 Lyon","32 av leclerc","69007","Lyon","34B av leclerc 69007 Lyon","33 av leclerc 69007 Lyon","34 av leclerc 69007 Lyon",5,4.825915,45.738941,1965-01-21,"non","non","oui",NA,0,0,0,470,159,159,150,0,0,0,"DE_1961_A_1974",NA,NA
"3",200046977,"69388","AA1770486","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","25 BIS RUE VILLON 69008 LYON","25B r villon 69008 Lyon","25B r villon","69008","Lyon",NA,NA,NA,0,4.866551,45.745586,1972-07-19,"non","non","oui",NA,0,0,0,54,13,13,8,0,0,0,"DE_1949_A_1960",NA,NA
"4",200046977,"69266","AA2023661","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","INKERMANN","39 r d'inkermann 69100 Villeurbanne","39 r d'inkermann","69100","Villeurbanne","41 r d'inkermann 69100 Villeurbanne",NA,NA,1,4.865883,45.76783,1971-03-26,"non","non","oui",NA,0,0,0,79,30,30,25,0,0,0,"DE_1975_A_1993",NA,NA
"5",200046977,"69385","AA2411668","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE CHARCOT CHAZAY","156B r commandant charcot 69005 Lyon","156B r commandant charcot","69005","Lyon","156 r commandant charcot 69005 Lyon",NA,NA,1,4.786486,45.746757,1970-12-15,"non","non","oui",NA,0,0,0,119,40,40,39,0,0,0,"DE_1961_A_1974",NA,NA
"6",200046977,"69389","AA2566446","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE PAREDOR","38 r du marechal de lattre de tassigny 69009 Lyon","38 r du marechal de lattre de tassigny","69009","Lyon",NA,NA,NA,0,4.8196,45.795388,1987-09-30,"non","non","oui",NA,0,0,0,211,60,60,90,0,0,0,"DE_1975_A_1993",NA,NA
"7",200046977,"69266","AA2584423","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","AIGLON","63 rte de genas 69100 Villeurbanne","63 rte de genas","69100","Villeurbanne",NA,NA,NA,0,4.880486,45.754796,1973-07-12,"non","non","oui",NA,0,0,0,292,99,99,91,0,0,0,"DE_1961_A_1974",NA,NA
"8",200046977,"69384","AA2591196","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","ANSELME","1 r anselme 69004 Lyon","1 r anselme","69004","Lyon",NA,NA,NA,0,4.821682,45.77381,1951-04-23,"non","non","oui",NA,0,0,0,62,27,27,10,0,0,0,"DE_1949_A_1960",NA,NA
"9",200046977,"69388","AA2776730","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE LARA","188 av des freres lumiere 69008 Lyon","188 av des freres lumiere","69008","Lyon","8 r jean perreal 69008 Lyon","6 r jean perreal 69008 Lyon",NA,2,4.874775,45.743211,1970-06-10,"non","non","oui",NA,0,0,0,222,58,56,113,0,0,0,"DE_1961_A_1974",NA,NA
"10",200046977,"69383","AA2785236","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE TETE D'OR","15 r guilloud 69003 Lyon","15 r guilloud","69003","Lyon",NA,NA,NA,0,4.86659,45.748286,1991-03-25,"non","non","oui",NA,1,0,0,85,33,33,27,0,0,0,"DE_1975_A_1993",NA,NA
"11",200046977,"69383","AA2787547","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE LUXEMBOURG","17 r guilloud 69003 Lyon","17 r guilloud","69003","Lyon",NA,NA,NA,0,4.866885,45.748222,1991-10-22,"non","non","oui",NA,1,0,0,126,38,38,55,0,0,0,"DE_1975_A_1993",NA,NA
"12",200046977,"69383","AA2803963","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","VILLA BORGHESE","19 r guilloud 69003 Lyon","19 r guilloud","69003","Lyon",NA,NA,NA,0,4.867165,45.748133,1991-06-03,"non","non","oui",NA,1,0,0,66,23,23,22,0,0,0,"DE_1975_A_1993",NA,NA
"13",200046977,"69383","AA2811396","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","VILLA KINSKY","13 r guilloud 69003 Lyon","13 r guilloud","69003","Lyon",NA,NA,NA,0,4.86626,45.748378,1996-09-27,"non","non","oui",NA,1,0,0,63,21,21,21,0,0,0,"DE_1975_A_1993",NA,NA
"14",200046977,"69259","AA3384591","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE RENAN","41 r ernest renan 69200 Vénissieux","41 r ernest renan","69200","Vénissieux","66 av francis de pressense 69200 Vénissieux","64 av francis de pressense 69200 Vénissieux","62 av francis de pressense 69200 Vénissieux",10,4.861,45.726005,1958-04-14,"non","non","oui",NA,0,0,0,291,116,110,59,0,0,0,"DE_1949_A_1960",NA,NA
"15",200046977,"69387","AA3436243","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","NOVALYA","61 r clement marot 69007 Lyon","61 r clement marot","69007","Lyon",NA,NA,NA,0,4.837707,45.735715,2012-12-01,"non","non","oui",NA,0,0,0,142,70,70,72,0,0,0,"APRES_2011",NA,NA
"16",200046977,"69029","AA3441508","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE MAS DE LA FORET","37 r philippe goy 69500 Bron","37 r philippe goy","69500","Bron","22 av du 8 mai 1945 69500 Bron","24 av du 8 mai 1945 69500 Bron","39 r philippe goy 69500 Bron",7,4.91447,45.729087,1942-08-03,"non","non","oui",NA,0,0,0,200,80,80,40,0,0,0,"DE_1961_A_1974",NA,NA
"17",200046977,"69386","AA3446069","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","5 PLACE BROSSET","5 pl general brosset 69006 Lyon","5 pl general brosset","69006","Lyon",NA,NA,NA,0,4.858325,45.767366,1921-09-10,"non","non","oui",NA,0,0,0,16,15,15,0,0,0,0,"AVANT_1949",NA,NA
"18",200046977,"69259","AA3447471","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LES ALLEES VENISSIANES","42 r roger salengro 69200 Vénissieux","42 r roger salengro","69200","Vénissieux",NA,NA,NA,0,4.867819,45.721471,2007-08-08,"non","non","oui",NA,0,0,0,99,38,38,48,0,0,0,"DE_2001_A_2010",NA,NA
"19",200046977,"69387","AA5140918","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE GRAND SUD","108r jean vallier 69007 Lyon","108r jean vallier","69007","Lyon","LE GRAND SUD - 23 RUE DE L'EFFORT 69007 LYON","LE GRAND SUD - 25 RUE DE L'EFFORT 69007 LYON","LE GRAND SUD - 27 RUE DE L'EFFORT 69007 LYON",5,4.837938,45.73279,1988-09-26,"non","non","oui",NA,0,0,0,372,188,187,184,0,0,0,"DE_1975_A_1993",NA,NA
"20",200046977,"69388","AA5463906","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE BALADIN","41 r villon 69008 Lyon","41 r villon","69008","Lyon","19 r saint-nestor 69008 Lyon","17 r saint-nestor 69008 Lyon","43 r villon 69008 Lyon",3,4.865517,45.743663,1989-10-05,"non","non","oui",NA,0,0,0,369,123,123,123,0,0,0,"DE_1975_A_1993",NA,NA
"21",200046977,"69266","AA5973854","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LES CANTONS DE L'EGUES","1 all marcel doret 69100 Villeurbanne","1 all marcel doret","69100","Villeurbanne","3 all marcel doret 69100 Villeurbanne",NA,NA,1,4.91198,45.75491,1954-09-17,"non","non","oui",NA,0,0,0,40,20,20,0,0,0,0,"DE_1949_A_1960",NA,NA
"22",200046977,"69389","AA5979711","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE MONTRIBLOUD","21T r de montribloud 69009 Lyon","21T r de montribloud","69009","Lyon","21B r de montribloud 69009 Lyon",NA,NA,1,4.790977,45.76879,1954-12-16,"non","non","oui",NA,0,0,0,59,32,32,7,0,0,0,"DE_1949_A_1960",NA,NA
"23",200046977,"69088","AA5984828","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","ARES","2 che de la petite cerdagne 69270 Fontaines-sur-Saône","2 che de la petite cerdagne","69270","Fontaines-sur-Saône","2B che de la petite cerdagne 69270 Fontaines-sur-Saône",NA,NA,1,4.850845,45.834677,1972-11-20,"non","non","oui",NA,0,0,0,233,73,73,89,0,0,0,"DE_1961_A_1974",NA,NA
"24",200046977,"69382","AA6737563","professionnel","REGIE GINON 40883261600028","40883261600028","6832A","LYON 1ER","Mandat en cours","1 RUE CLOTILDE BIZOLON","1 r clotilde bizolon 69002 Lyon","1 r clotilde bizolon","69002","Lyon",NA,NA,NA,0,4.826462,45.756109,1901-01-01,"non","non","oui",NA,0,0,0,19,10,10,0,0,0,0,"AVANT_1949",NA,NA
"25",200046977,"69389","AA7087927","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","Les 4 Temps","20 av de champagne 69009 Lyon","20 av de champagne","69009","Lyon","4 r maurice bejart 69009 Lyon","6 r maurice bejart 69009 Lyon","8 r maurice bejart 69009 Lyon",4,4.793694,45.789244,2014-09-29,"non","non","oui",NA,0,0,0,184,57,57,125,0,0,0,"APRES_2011","Duchère","QP069037"
"26",200046977,"69044","AA7496557","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LES OMBRAGES","12 av general de gaulle 69260 Charbonnières-les-Bains","12 av general de gaulle","69260","Charbonnières-les-Bains",NA,NA,NA,0,4.735704,45.784306,1959-05-12,"non","non","oui",NA,0,0,0,92,38,36,18,0,0,0,"DE_1949_A_1960",NA,NA
"27",200046977,"69383","AA7503493","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE PRIVILEGE MONTBRILLANT","7 r de montbrillant 69003 Lyon","7 r de montbrillant","69003","Lyon","7T r de montbrillant 69003 Lyon","7B r de montbrillant 69003 Lyon",NA,2,4.869771,45.750222,2002-07-01,"non","non","oui",NA,0,0,0,198,73,73,75,0,0,0,"DE_1994_A_2000",NA,NA
